策略名稱,股票代號,股票名稱,樣本數,平均勝率,平均報酬率,平均持有天數
F14_MCTS11,1532,,2,1.0,0.638647,500.0
F14_MCTS11,1536,,1,0.0,-0.037897,500.0
F14_MCTS11,1565,,1,0.0,-0.417181,500.0
F14_MCTS11,1609,,1,1.0,1.696885,500.0
F14_MCTS11,1611,,1,1.0,0.300061,500.0
F14_MCTS11,1612,,1,0.0,-0.016952,500.0
F14_MCTS11,1707,,1,1.0,0.103108,500.0
F14_MCTS11,1710,,1,1.0,0.620134,500.0
F14_MCTS11,1711,,1,1.0,0.218082,500.0
F14_MCTS11,1714,,1,1.0,0.386661,500.0
F14_MCTS11,1717,,1,1.0,0.406493,85.0
F14_MCTS11,1718,,1,1.0,0.586065,500.0
F14_MCTS11,1722,,1,0.0,-0.097759,500.0
F14_MCTS11,1723,,2,0.5,0.13762649999999998,500.0
F14_MCTS11,1785,,1,0.0,-0.57028,393.0
F14_MCTS11,1789,,1,0.0,-0.047794,500.0
F14_MCTS11,1802,,1,1.0,0.440689,500.0
F14_MCTS11,1806,,1,1.0,0.311325,500.0
F14_MCTS11,1810,,1,1.0,0.198733,500.0
F14_MCTS11,1815,,1,1.0,0.57685,500.0
F14_MCTS11,1904,,1,1.0,0.641286,500.0
F14_MCTS11,1907,,2,0.5,0.5871495,357.0
F14_MCTS11,2002,,1,0.0,-0.182664,500.0
F14_MCTS11,2006,,2,0.5,0.35422449999999994,362.5
F14_MCTS11,2009,,2,1.0,4.7253194999999995,412.5
F14_MCTS11,2010,,1,1.0,0.261119,500.0
F14_MCTS11,2027,,1,1.0,0.08333,500.0
F14_MCTS11,2029,,1,0.0,-0.006689,500.0
F14_MCTS11,2049,,1,0.0,-0.170219,500.0
F14_MCTS11,2059,,2,0.5,0.1389245,500.0
F14_MCTS11,2101,,1,1.0,0.9869,400.0
F14_MCTS11,2102,,1,1.0,0.135504,500.0
F14_MCTS11,2103,,2,0.5,-0.0671695,375.5
F14_MCTS11,2104,,3,0.3333333333333333,0.3024473333333333,450.6666666666667
F14_MCTS11,2105,,2,1.0,0.275771,500.0
F14_MCTS11,2107,,1,0.0,-0.21992,500.0
F14_MCTS11,2108,,2,0.5,0.06457300000000002,500.0
F14_MCTS11,2201,,2,0.5,0.1307955,500.0
F14_MCTS11,2204,,1,1.0,0.386123,500.0
F14_MCTS11,2208,,1,0.0,-0.08345,500.0
F14_MCTS11,2231,,1,0.0,-0.229819,500.0
F14_MCTS11,2308,,1,1.0,0.919593,500.0
F14_MCTS11,2312,,1,1.0,0.665779,493.0
F14_MCTS11,2317,,2,1.0,0.3759895,500.0
F14_MCTS11,2324,,1,1.0,0.370032,500.0
F14_MCTS11,2328,,2,0.5,0.5948875,500.0
F14_MCTS11,2330,,1,1.0,0.856825,483.0
F14_MCTS11,2332,,1,0.0,-0.413229,500.0
F14_MCTS11,2337,,1,0.0,-0.021564,500.0
F14_MCTS11,2338,,1,1.0,0.039,500.0
F14_MCTS11,2340,,1,1.0,0.19861,500.0
F14_MCTS11,2347,,2,0.5,0.417612,500.0
F14_MCTS11,2354,,3,0.6666666666666666,0.15740566666666667,500.0
F14_MCTS11,2356,,1,1.0,1.679717,353.0
F14_MCTS11,2362,,3,0.3333333333333333,-0.031044,500.0
F14_MCTS11,2368,,1,0.0,-0.003792,500.0
F14_MCTS11,2369,,1,1.0,0.761986,500.0
F14_MCTS11,2374,,1,0.0,-0.171424,500.0
F14_MCTS11,2377,,1,1.0,2.131862,329.0
F14_MCTS11,2382,,1,1.0,0.432626,500.0
F14_MCTS11,2385,,2,1.0,0.9360835,465.5
F14_MCTS11,2387,,2,1.0,0.39018549999999996,500.0
